node_id1,node_id2,label_id1,label_id2,ibd_sum
node_5,node_1,class_0,class_0,13.017885077910544
node_10,node_6,class_0,class_0,9.582427144239478
node_11,node_6,class_0,class_0,16.065766957704213
node_13,node_10,class_0,class_0,8.104613347283562
node_14,node_1,class_0,class_0,8.796098271080869
node_17,node_5,class_0,class_0,11.263055035533116
node_17,node_10,class_0,class_0,8.007328767511137
node_18,node_3,class_0,class_0,9.756040664308777
node_18,node_13,class_0,class_0,9.89589687878062
node_19,node_9,class_0,class_0,9.57358288271807
node_20,node_12,class_0,class_0,8.950963075403788
node_21,node_0,class_0,class_0,8.518752520674635
node_21,node_3,class_0,class_0,8.868210847722828
node_21,node_10,class_0,class_0,14.340873757936054
node_21,node_13,class_0,class_0,9.814233043026675
node_24,node_6,class_0,class_0,11.769218821268167
node_24,node_8,class_0,class_0,10.641780999227588
node_24,node_19,class_0,class_0,10.711097946004742
node_25,node_0,class_0,class_0,8.296521273168903
node_25,node_16,class_0,class_0,8.966967533755094
node_25,node_18,class_0,class_0,9.226397763860922
node_25,node_23,class_0,class_0,9.368966234207262
node_26,node_8,class_0,class_0,9.297820732512655
node_28,node_10,class_0,class_0,12.642832039350559
node_28,node_17,class_0,class_0,8.112805746876438
node_29,node_4,class_0,class_0,9.753733669021367
node_29,node_7,class_0,class_0,11.473933557253735
node_30,node_14,class_0,class_0,8.672521005048468
node_30,node_20,class_0,class_0,8.573972625664867
node_30,node_25,class_0,class_0,12.259429104146992
node_31,node_8,class_0,class_0,8.14798012926835
node_33,node_6,class_0,class_0,10.254905307976397
node_34,node_4,class_0,class_0,9.4379675626724
node_34,node_8,class_0,class_0,9.889931123361453
node_34,node_33,class_0,class_0,8.425453183548468
node_35,node_6,class_0,class_0,8.71361301886871
node_35,node_12,class_0,class_0,8.355308250638863
node_36,node_6,class_0,class_0,12.433430982249082
node_36,node_9,class_0,class_0,8.002289437060186
node_36,node_10,class_0,class_0,8.670166402833571
node_36,node_16,class_0,class_0,16.07492700740491
node_37,node_23,class_0,class_0,10.1789037387247
node_37,node_33,class_0,class_0,9.250744677430923
node_38,node_11,class_0,class_0,8.970855157519635
node_38,node_18,class_0,class_0,9.769015926770983
node_38,node_24,class_0,class_0,9.53054719311053
node_38,node_29,class_0,class_0,8.612578471458988
node_39,node_18,class_0,class_0,10.206052984696214
node_39,node_27,class_0,class_0,8.111421517955284
node_39,node_33,class_0,class_0,8.93730972485705
node_40,node_27,class_0,class_0,8.982047948790267
node_41,node_11,class_0,class_0,9.257156121428832
node_41,node_19,class_0,class_0,11.28906441479458
node_41,node_24,class_0,class_0,8.226785750637662
node_42,node_1,class_0,class_0,8.128370839562404
node_42,node_4,class_0,class_0,11.285653462966627
node_42,node_15,class_0,class_0,9.33784490353649
node_42,node_20,class_0,class_0,8.087768618074364
node_43,node_41,class_0,class_0,11.519491616544194
node_44,node_9,class_0,class_0,9.943219221665421
node_44,node_19,class_0,class_0,9.865227636273541
node_44,node_29,class_0,class_0,8.372177288864206
node_46,node_12,class_0,class_0,8.845565148023002
